"","Gene_ID_IMG","Start.Coord","End.Coord","Strand","GC","Nuc","AA","Description","Gi","GeneID","Locus"
"Tery_0281","638105621","433208","434281","-","0.36","1074","358","alpha/beta hydrolase fold","113474175","4242136","-"
"Tery_0282","639331305","434458","435672","-","0.35","1215","405","-","-","-","-"
"Tery_0283","638105622","436168","437337","+","0.4","1170","390","transaldolase( EC:2.2.1.2 )","113474176","4242138","-"
"Tery_0284","638105623","438503","439606","-","0.35","1104","368","glycine oxidase ThiO( EC:1.4.3.19 )","113474177","4242139","-"
"Tery_0285","639331306","440288","440577","-","0.32","290","96.66666667","-","-","-","-"
"Tery_0286","638105624","440975","442579","+","0.41","1605","535","2-isopropylmalate synthase/homocitrate synthase family protein( EC:2.3.3.13 )","113474178","4242141","-"
"Tery_0287","638105625","442807","443091","-","0.36","285","95","hypothetical protein","113474179","4242142","-"
"Tery_0288","638105626","443535","444284","+","0.31","750","250","Methyltransferase type 12","113474180","4242143","-"
"Tery_0289","638105627","444560","444925","+","0.3","366","122","transposase","113474181","4242144","-"
"Tery_0290","638105628","445064","445597","+","0.31","534","178","transposase","113474182","4242145","-"
"Tery_0291","638105629","446241","447479","+","0.33","1239","413","TPR repeat","113474183","4242146","-"
"Tery_0292","638105630","447471","448331","-","0.28","861","287","hypothetical protein","113474184","4242147","-"
"Tery_0293","638105631","449414","450586","-","0.38","1173","391","aminotransferase, class I and II( EC:2.6.1.1 )","113474185","4242148","-"
"Tery_0294","638105632","451430","452728","-","0.36","1299","433","protein of unknown function DUF89","113474186","4242149","-"
"Tery_0295","638105633","452825","455425","+","0.37","2601","867","peptidase M1, membrane alanine aminopeptidase( EC:3.4.11.2 )","113474187","4242150","-"
"Tery_0296","638105634","455679","455810","-","0.4","132","44","CG8440 gene product from transcript CG8440-RA CG8440 gene product from transcript CG8440-RB","113474188","4242151","-"
"Tery_0297","639331307","456020","456517","-","0.37","498","166","-","-","-","-"
"Tery_0298","638105635","456754","457272","+","0.32","519","173","CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase( EC:2.7.8.5 )","113474189","4242153","-"
"Tery_0299","638105636","457720","459648","+","0.33","1929","643","ABC transporter related( EC:3.6.3.25 )","113474190","4242154","-"
"Tery_0300","638105637","459720","460340","+","0.32","621","207","transcriptional activator, TenA family","113474191","4242902","-"
"Tery_0301","638105638","460361","460780","+","0.35","420","140","Peptidylprolyl isomerase( EC:5.2.1.8,EC:5.2.1.8 )","113474192","4242903","-"
"Tery_0302","638105639","461870","463597","+","0.39","1728","576","flavin reductase-like, FMN-binding","113474193","4242904","-"
"Tery_0303","638105640","464021","469630","-","0.37","5610","1870","alpha-2-macroglobulin-like","113474194","4242905","-"
"Tery_0308","638105643","475370","476356","-","0.33","987","329","molybdenum cofactor biosynthesis protein A","113474197","4242910","-"
"Tery_0309","638105644","478266","479129","+","0.39","864","288","Permease","113474198","4242911","-"
"Tery_0310","638105645","479268","480356","+","0.38","1089","363","conserved hypothetical protein","113474199","4242912","-"
"Tery_0311","638105646","480768","481508","+","0.35","741","247","OmpA/MotB","113474200","4242913","-"
"Tery_0312","639331310","482431","483828","+","0.42","1398","466","-","-","-","-"
"Tery_0313","638105647","484911","486182","-","0.43","1272","424","band 7 protein","113474201","4242915","-"
"Tery_0314","638105648","486705","488087","-","0.39","1383","461","band 7 protein","113474202","4242916","-"
"Tery_0316","638105649","488541","489149","-","0.35","609","203","conserved hypothetical protein","113474203","4242918","-"
"Tery_0317","638105650","489261","490346","-","0.34","1086","362","TPR domain protein","113474204","4242919","-"
"Tery_0318","638105651","492550","493929","+","0.39","1380","460","putative nicotinate phosphoribosyltransferase( EC:2.4.2.11 )","113474205","4242920","-"
"Tery_0319","638105652","494912","495502","+","0.31","591","197","cytidyltransferase-related domain( EC:2.7.7.18 )","113474206","4243134","nadD"
"Tery_0320","638105653","495589","496197","+","0.31","609","203","NUDIX hydrolase","113474207","4243135","-"
"Tery_0321","638105654","497092","497943","+","0.3","852","284","hypothetical protein","113474208","4243136","-"
"Tery_0322","638105655","498095","498529","-","0.36","435","145","hypothetical protein","113474209","4243137","-"
"Tery_0323","638105656","498617","499183","-","0.31","567","189","hypothetical protein","113474210","4243138","-"
"Tery_0324","638105657","499291","499899","+","0.4","609","203","ribosomal protein S4","113474211","4243139","rpsD"
"Tery_0325","638105658","500956","501675","+","0.34","720","240","methyltransferase small","113474212","4243140","-"
"Tery_0326","639331312","502028","502257","+","0.31","230","76.66666667","-","-","-","-"
"Tery_0327","638105659","502599","503360","+","0.33","762","254","putative methyltransferase","113474213","4243142","-"
"Tery_0328","638105660","503552","503686","+","0.3","135","45","glutathione S-transferase-like","113474214","4243143","-"
"Tery_0329","638105661","503708","503887","+","0.35","180","60","hypothetical protein","113474215","4243144","-"
"Tery_0330","638105662","503895","504053","+","0.37","159","53","hypothetical protein","113474216","4243145","-"
"Tery_0331","638105663","504317","505921","-","0.32","1605","535","ABC transporter related","113474217","4243146","-"
"Tery_0332","638105664","506652","507881","-","0.38","1230","410","Na+ dependent nucleoside transporter-like","113474218","4243147","-"
"Tery_0333","638105665","509153","510514","+","0.37","1362","454","small GTP-binding protein","113474219","4243148","engA"
"Tery_0334","638105666","510841","512151","+","0.4","1311","437","conserved hypothetical protein 698","113474220","4243149","-"
"Tery_0335","638105667","513120","513839","-","0.37","720","240","Heme oxygenase (decyclizing)( EC:1.14.99.3 )","113474221","4243150","-"
"Tery_0336","638105668","515297","516334","+","0.36","1038","346","protein of unknown function DUF187","113474222","4243151","-"
"Tery_0337","638105669","516434","517675","-","0.35","1242","414","hypothetical protein","113474223","4243152","-"
"Tery_0338","639331313","518226","518862","+","0.32","637","212.3333333","-","-","-","-"
"Tery_0339","638105670","520009","522129","+","0.4","2121","707","N-acetylmuramoyl-L-alanine amidase( EC:3.5.1.28 )","113474224","4242515","-"
"Tery_0340","638105671","522487","523410","-","0.4","924","308","glucokinase regulatory-like protein( EC:4.2.- )","113474225","4242516","murQ"
"Tery_0341","638105672","523930","524292","-","0.37","363","121","conserved hypothetical protein","113474226","4242517","-"
"Tery_0342","638105673","525128","532096","+","0.35","6969","2323","protein of unknown function DUF490","113474227","4242518","-"
"Tery_0343","639331314","532606","532974","-","0.29","369","123","-","-","-","-"
"Tery_0344","639331315","533221","533520","-","0.22","300","100","-","-","-","-"
"Tery_0345","638105674","534200","535810","+","0.38","1611","537","COG0443: Molecular chaperone","113474228","4242521","-"
"Tery_0346","638105675","536247","536486","-","0.35","240","80","phenolpthiocerol synthesis polyketide synthase PpsA","113474229","4242522","-"
"Tery_0347","638105676","536956","538086","-","0.34","1131","377","CO2 hydration protein","113474230","4242523","-"
"Tery_0348","638105677","538091","539179","-","0.38","1089","363","transposase, IS605 OrfB family","113474231","4242524","-"
"Tery_0349","638105678","540346","541866","-","0.37","1521","507","proton-translocating NADH-quinone oxidoreductase, chain M( EC:1.6.5.3,EC:1.6.5.3 )","113474232","4242525","-"
"Tery_0350","639331316","542293","542511","+","0.36","219","73","-","-","-","-"
"Tery_0351","638105679","543311","544138","+","0.32","828","276","alpha/beta hydrolase fold( EC:3.8.1.5 )","113474233","4242527","-"
"Tery_0352","638105680","544282","545463","-","0.33","1182","394","8-amino-7-oxononanoate synthase( EC:2.3.1.47 )","113474234","4242528","-"
"Tery_0353","638105681","546691","547593","+","0.39","903","301","Methyltransferase type 12","113474235","4242529","-"
"Tery_0354","639331317","547614","547883","+","0.33","270","90","-","-","-","-"
"Tery_0355","638105682","548063","548857","+","0.31","795","265","conserved hypothetical protein","113474236","4242531","-"
"Tery_0356","638105683","549606","550889","+","0.36","1284","428","glutaredoxin( EC:2.5.1.18 )","113474237","4242532","-"
"Tery_0357","638105684","551119","551400","-","0.33","282","94","conserved hypothetical protein","113474238","4242533","-"
"Tery_0358","638105685","551450","551788","-","0.3","339","113","hypothetical protein","113474239","4242553","-"
"Tery_0359","638105686","551971","553365","+","0.37","1395","465","multicopper oxidase, type 3","113474240","4242554","-"
"Tery_0360","638105687","553419","553976","+","0.38","558","186","protein of unknown function DUF411","113474241","4242555","-"
"Tery_0361","638105688","554156","554713","-","0.32","558","186","hypothetical protein","113474242","4242556","-"
"Tery_0362","638105689","555242","555889","-","0.34","648","216","dephospho-CoA kinase( EC:2.7.1.24 )","113474243","4242557","-"
"Tery_0363","638105690","556288","561606","+","0.34","5319","1773","filamentous haemagglutinin family outer membrane protein","113474244","4242558","-"
"Tery_0364","638105691","562495","563130","-","0.33","636","212","Methyltransferase type 11","113474245","4242559","-"
"Tery_0365","638105692","563584","564342","+","0.34","759","253","phosphonate ABC transporter, ATPase subunit","113474246","4242560","-"
"Tery_0366","638105693","564791","565687","+","0.32","897","299","phosphonate ABC transporter, periplasmic phosphonate-binding protein","113474247","4242561","-"
"Tery_0367","638105694","565744","566562","+","0.36","819","273","phosphonate ABC transporter, inner membrane subunit","113474248","4242562","-"
"Tery_0368","638105695","566682","567677","+","0.35","996","332","D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding( EC:1.1.1.215 )","113474249","4242563","-"
"Tery_0369","638105696","568161","568865","-","0.35","705","235","TENA/THI-4 protein( EC:1.3.3.11 )","113474250","4242564","-"
"Tery_0370","638105697","569567","570250","-","0.35","684","228","hypothetical protein","113474251","4242565","-"
"Tery_0371","638105698","570659","571606","-","0.36","948","316","protein of unknown function DUF6, transmembrane","113474252","4242566","-"
"Tery_0372","638105700","572415","573554","-","0.39","1140","380","S-layer region-like","113474253","4242568","-"
"Tery_0373","638105701","573749","574606","-","0.32","858","286","conserved hypothetical protein","113474254","4242569","-"
"Tery_0374","639331318","575477","576270","-","0.35","794","264.6666667","-","-","-","-"
"Tery_0375","638105702","577302","578246","-","0.3","945","315","hypothetical protein","113474255","4242571","-"
"Tery_0376","638105703","578538","580040","-","0.33","1503","501","orotate phosphoribosyltransferase( EC:4.1.1.23 )","113474256","4241610","-"
"Tery_0377","638105704","581688","583043","+","0.42","1356","452","RNA modification enzyme, MiaB family","113474257","4241611","-"
"Tery_0378","638105705","583692","585479","+","0.43","1788","596","surface antigen (D15)","113474258","4241612","-"
"Tery_0379","638105706","585492","588713","+","0.45","3222","1074","filamentous haemagglutinin family outer membrane protein","113474259","4241613","-"
"Tery_0380","638105707","588749","591631","+","0.42","2883","961","Tetratricopeptide region","113474260","4241614","-"
"Tery_0381","638105708","591650","592441","-","0.4","792","264","protein of unknown function DUF928","113474261","4241615","-"
"Tery_0382","638105709","592556","594907","-","0.34","2352","784","putative Chase2 sensor protein","113474262","4241616","-"
"Tery_0383","638105710","595024","595416","-","0.29","393","131","hypothetical protein","113474263","4241617","-"
"Tery_0384","638105711","595539","596810","-","0.34","1272","424","WD-40 repeat","113474264","4241618","-"
"Tery_0385","638105712","597558","598646","+","0.4","1089","363","RNA polymerase, sigma-24 subunit, ECF subfamily","113474265","4241619","-"
"Tery_0386","638105713","599368","599778","+","0.46","411","137","hypothetical protein","113474266","4241620","-"
"Tery_0387","638105714","600305","603121","+","0.47","2817","939","Cadherin","113474267","4241621","-"
"Tery_0388","638105715","603425","603682","+","0.41","258","86","hypothetical protein","113474268","4241622","-"
"Tery_0389","638105716","603834","605684","+","0.39","1851","617","possible lipoprotein","113474269","4241623","-"
"Tery_0391","638105718","606398","606628","-","0.39","231","77","hypothetical protein","113474271","4241625","-"
"Tery_0392","638105719","606874","607626","+","0.39","753","251","Carboxymethylenebutenolidase( EC:3.1.1.45 )","113474272","4241626","-"
"Tery_0393","638105720","608237","608632","+","0.35","396","132","transposase, IS605 OrfB family","113474273","4241627","-"
"Tery_0394","638105721","609071","609604","-","0.35","534","178","peptide methionine sulfoxide reductase( EC:1.8.4.11 )","113474274","4241628","-"
"Tery_0395","639331319","609824","610243","+","0.35","420","140","-","-","-","-"
"Tery_0396","639331320","611164","611595","-","0.37","432","144","-","-","-","-"
"Tery_0397","638105722","612482","618103","-","0.57","5622","1874","phage Tail Collar","113474275","4241961","-"
